,,,http://thesoccerworldcups.com/games/2010_brazil_ivory_coast.php
,,,http://thesoccerworldcups.com/games/2010_brazil_ivory_coast.php
Brazil,Kaka,88' ejection - straight red card,http://thesoccerworldcups.com/games/2010_brazil_ivory_coast.php
,,,http://thesoccerworldcups.com/games/2002_spain_ireland.php
,,,http://thesoccerworldcups.com/games/2002_spain_ireland.php
Spain,Juanfran,62' yellow card,http://thesoccerworldcups.com/games/2002_spain_ireland.php
Spain,Ruben Baraja,87' yellow card,http://thesoccerworldcups.com/games/2002_spain_ireland.php
Spain,Fernando Hierro,89' yellow card,http://thesoccerworldcups.com/games/2002_spain_ireland.php
,,,http://thesoccerworldcups.com/games/2006_spain_tunisia.php
,,,http://thesoccerworldcups.com/games/2006_spain_tunisia.php
Spain,Carles Puyol,30' yellow card,http://thesoccerworldcups.com/games/2006_spain_tunisia.php
Tunisia,Anis Ayari,32' yellow card,http://thesoccerworldcups.com/games/2006_spain_tunisia.php
Tunisia,Hatem Trabelsi,40' yellow card,http://thesoccerworldcups.com/games/2006_spain_tunisia.php
Tunisia,Radhi Jaidi,70' yellow card,http://thesoccerworldcups.com/games/2006_spain_tunisia.php
Tunisia,Haykel Guemamdia,81' yellow card,http://thesoccerworldcups.com/games/2006_spain_tunisia.php
Tunisia,Zied Jaziri,85' yellow card,http://thesoccerworldcups.com/games/2006_spain_tunisia.php
Spain,Cesc Fabregas,89' yellow card,http://thesoccerworldcups.com/games/2006_spain_tunisia.php
Tunisia,Jaouhar Mnari,90'+3' yellow card,http://thesoccerworldcups.com/games/2006_spain_tunisia.php
,,,http://thesoccerworldcups.com/games/2006_saudi_arabia_spain.php
,,,http://thesoccerworldcups.com/games/2006_saudi_arabia_spain.php
Saudi Arabia,Sami Al Jaber,27' yellow card,http://thesoccerworldcups.com/games/2006_saudi_arabia_spain.php
Spain,David Albelda,30' yellow card,http://thesoccerworldcups.com/games/2006_saudi_arabia_spain.php
Spain,Jose Antonio Reyes,35' yellow card,http://thesoccerworldcups.com/games/2006_saudi_arabia_spain.php
Spain,Carlos Marchena,75' yellow card,http://thesoccerworldcups.com/games/2006_saudi_arabia_spain.php
Saudi Arabia,Nawaf Al Temiyat,77' yellow card,http://thesoccerworldcups.com/games/2006_saudi_arabia_spain.php
,,,http://thesoccerworldcups.com/games/1994_sweden_bulgaria.php
,,,http://thesoccerworldcups.com/games/1994_sweden_bulgaria.php
Bulgaria,Zlatko Yankov,70' yellow card,http://thesoccerworldcups.com/games/1994_sweden_bulgaria.php
Sweden,Kennet Andersson,82' yellow card,http://thesoccerworldcups.com/games/1994_sweden_bulgaria.php
,,,http://thesoccerworldcups.com/games/1998_romania_england.php
,,,http://thesoccerworldcups.com/games/1998_romania_england.php
Romania,Gheorghe Hagi,4' yellow card,http://thesoccerworldcups.com/games/1998_romania_england.php
Romania,Gheorghe Popescu,46' yellow card,http://thesoccerworldcups.com/games/1998_romania_england.php
Romania,Liviu Ciobotariu,78' yellow card,http://thesoccerworldcups.com/games/1998_romania_england.php
