Game||||||
3.|Italy|Poland|0 - 0|../games/1982_italy_poland.php|1st Round, Group A|1982_group_a.php
4.|Scotland|New Zealand|0 - 0|../games/1982_italy_poland.php|1st Round, Group F|1982_group_f.php
5.|Hungary|El Salvador|0 - 0|../games/1982_italy_poland.php|1st Round, Group C|1982_group_c.php
6.|Peru|Cameroon|0 - 0|../games/1982_italy_poland.php|1st Round, Group A|1982_group_a.php
7.|West Germany|Algeria|0 - 0|../games/1982_italy_poland.php|1st Round, Group B|1982_group_b.php
8.|Spain|Honduras|0 - 0|../games/1982_italy_poland.php|1st Round, Group E|1982_group_e.php
9.|England|France|0 - 0|../games/1982_italy_poland.php|1st Round, Group D|1982_group_d.php
10.|Czechoslovakia|Kuwait|0 - 0|../games/1982_italy_poland.php|1st Round, Group D|1982_group_d.php
11.|Chile|Austria|0 - 0|../games/1982_italy_poland.php|1st Round, Group B|1982_group_b.php
12.|Yugoslavia|Northern Ireland|0 - 0|../games/1982_italy_poland.php|1st Round, Group E|1982_group_e.php
13.|Argentina|Hungary|4 - 1|../games/1982_argentina_hungary.php|1st Round, Group C|1982_group_c.php
14.|Brazil|Scotland|4 - 1|../games/1982_brazil_scotland.php|1st Round, Group F|1982_group_f.php
15.|Italy|Peru|1 - 1|../games/1982_italy_peru.php|1st Round, Group A|1982_group_a.php
16.|Belgium|El Salvador|1 - 1|../games/1982_italy_peru.php|1st Round, Group C|1982_group_c.php
17.|Poland|Cameroon|1 - 1|../games/1982_italy_peru.php|1st Round, Group A|1982_group_a.php
18.|Soviet Union|New Zealand|1 - 1|../games/1982_italy_peru.php|1st Round, Group F|1982_group_f.php
19.|West Germany|Chile|1 - 1|../games/1982_italy_peru.php|1st Round, Group B|1982_group_b.php
20.|Spain|Yugoslavia|1 - 1|../games/1982_italy_peru.php|1st Round, Group E|1982_group_e.php
21.|England|Czechoslovakia|1 - 1|../games/1982_italy_peru.php|1st Round, Group D|1982_group_d.php
22.|Algeria|Austria|1 - 1|../games/1982_italy_peru.php|1st Round, Group B|1982_group_b.php
23.|France|Kuwait|1 - 1|../games/1982_italy_peru.php|1st Round, Group D|1982_group_d.php
24.|Honduras|Northern Ireland|1 - 1|../games/1982_italy_peru.php|1st Round, Group E|1982_group_e.php
25.|Belgium|Hungary|1 - 1|../games/1982_italy_peru.php|1st Round, Group C|1982_group_c.php
26.|Poland|Peru|1 - 1|../games/1982_italy_peru.php|1st Round, Group A|1982_group_a.php
27.|Soviet Union|Scotland|1 - 1|../games/1982_italy_peru.php|1st Round, Group F|1982_group_f.php
28.|Argentina|El Salvador|2 - 0|../games/1982_argentina_el_salvador.php|1st Round, Group C|1982_group_c.php
29.|Brazil|New Zealand|4 - 0|../games/1982_brazil_new_zealand.php|1st Round, Group F|1982_group_f.php
30.|Italy|Cameroon|1 - 1|../games/1982_italy_cameroon.php|1st Round, Group A|1982_group_a.php
31.|Algeria|Chile|1 - 1|../games/1982_italy_cameroon.php|1st Round, Group B|1982_group_b.php
32.|France|Czechoslovakia|1 - 1|../games/1982_italy_cameroon.php|1st Round, Group D|1982_group_d.php
33.|Honduras|Yugoslavia|1 - 1|../games/1982_italy_cameroon.php|1st Round, Group E|1982_group_e.php
34.|West Germany|Austria|1 - 1|../games/1982_italy_cameroon.php|1st Round, Group B|1982_group_b.php
35.|England|Kuwait|1 - 1|../games/1982_italy_cameroon.php|1st Round, Group D|1982_group_d.php
36.|Northern Ireland|Spain|1 - 1|../games/1982_italy_cameroon.php|1st Round, Group E|1982_group_e.php
37.|Austria|France|1 - 1|../games/1982_italy_cameroon.php|2nd Round, Group 4|1982_group_4.php
38.|Poland|Belgium|1 - 1|../games/1982_italy_cameroon.php|2nd Round, Group 1|1982_group_1.php
39.|West Germany|England|1 - 1|../games/1982_italy_cameroon.php|2nd Round, Group 2|1982_group_2.php
40.|Italy|Argentina|2 - 1|../games/1982_italy_argentina.php|2nd Round, Group 3|1982_group_3.php
41.|Austria|Northern Ireland|2 - 1|../games/1982_italy_argentina.php|2nd Round, Group 4|1982_group_4.php
42.|Belgium|Soviet Union|2 - 1|../games/1982_italy_argentina.php|2nd Round, Group 1|1982_group_1.php
43.|West Germany|Spain|2 - 1|../games/1982_italy_argentina.php|2nd Round, Group 2|1982_group_2.php
44.|Argentina|Brazil|1 - 3|../games/1982_argentina_brazil.php|2nd Round, Group 3|1982_group_3.php
45.|France|Northern Ireland|1 - 3|../games/1982_argentina_brazil.php|2nd Round, Group 4|1982_group_4.php
46.|Poland|Soviet Union|1 - 3|../games/1982_argentina_brazil.php|2nd Round, Group 1|1982_group_1.php
47.|Spain|England|1 - 3|../games/1982_argentina_brazil.php|2nd Round, Group 2|1982_group_2.php
48.|Italy|Brazil|3 - 2|../games/1982_italy_brazil.php|2nd Round, Group 3|1982_group_3.php
49.|West Germany|France|3 - 3|../games/1982_west_germany_france.php|2nd Round, Group 3|1982_group_3.php
50.|Poland|Italy|0 - 2|../games/1982_poland_italy.php|2nd Round, Group 3|1982_group_3.php
51.|Poland|France|3 - 2|../games/1982_poland_france.php|2nd Round, Group 3|1982_group_3.php
52.|Italy|West Germany|3 - 1|../games/1982_italy_west_germany.php|2nd Round, Group 3|1982_group_3.php
Game||||||
1.|Germany|Bolivia|||1st Round, Group C|1994_group_c.php
2.|Spain|South Korea|||1st Round, Group C|1994_group_c.php
3.|USA|Switzerland|||1st Round, Group A|1994_group_a.php
4.|Italy|Ireland|||1st Round, Group E|1994_group_e.php
5.|Colombia|Romania|||1st Round, Group A|1994_group_a.php
6.|Belgium|Morocco|||1st Round, Group F|1994_group_f.php
7.|Norway|Mexico|||1st Round, Group E|1994_group_e.php
8.|Cameroon|Sweden|||1st Round, Group B|1994_group_b.php
9.|Brazil|Russia|2 - 0|../games/1994_brazil_russia.php|1st Round, Group B|1994_group_b.php
10.|Holland|Saudi Arabia|2 - 0|../games/1994_brazil_russia.php|1st Round, Group F|1994_group_f.php
11.|Argentina|Greece|4 - 0|../games/1994_argentina_greece.php|1st Round, Group D|1994_group_d.php
12.|Germany|Spain|4 - 0|../games/1994_argentina_greece.php|1st Round, Group C|1994_group_c.php
13.|Nigeria|Bulgaria|4 - 0|../games/1994_argentina_greece.php|1st Round, Group D|1994_group_d.php
14.|Romania|Switzerland|4 - 0|../games/1994_argentina_greece.php|1st Round, Group A|1994_group_a.php
15.|USA|Colombia|4 - 0|../games/1994_argentina_greece.php|1st Round, Group A|1994_group_a.php
16.|Italy|Norway|4 - 0|../games/1994_argentina_greece.php|1st Round, Group E|1994_group_e.php
17.|South Korea|Bolivia|4 - 0|../games/1994_argentina_greece.php|1st Round, Group C|1994_group_c.php
18.|Mexico|Ireland|4 - 0|../games/1994_argentina_greece.php|1st Round, Group E|1994_group_e.php
19.|Brazil|Cameroon|3 - 0|../games/1994_brazil_cameroon.php|1st Round, Group B|1994_group_b.php
20.|Sweden|Russia|3 - 0|../games/1994_brazil_cameroon.php|1st Round, Group B|1994_group_b.php
21.|Belgium|Holland|3 - 0|../games/1994_brazil_cameroon.php|1st Round, Group F|1994_group_f.php
22.|Saudi Arabia|Morocco|3 - 0|../games/1994_brazil_cameroon.php|1st Round, Group F|1994_group_f.php
23.|Argentina|Nigeria|2 - 1|../games/1994_argentina_nigeria.php|1st Round, Group D|1994_group_d.php
24.|Bulgaria|Greece|2 - 1|../games/1994_argentina_nigeria.php|1st Round, Group D|1994_group_d.php
25.|USA|Romania|2 - 1|../games/1994_argentina_nigeria.php|1st Round, Group A|1994_group_a.php
26.|Switzerland|Colombia|2 - 1|../games/1994_argentina_nigeria.php|1st Round, Group A|1994_group_a.php
27.|Bolivia|Spain|2 - 1|../games/1994_argentina_nigeria.php|1st Round, Group C|1994_group_c.php
28.|Germany|South Korea|2 - 1|../games/1994_argentina_nigeria.php|1st Round, Group C|1994_group_c.php
29.|Ireland|Norway|2 - 1|../games/1994_argentina_nigeria.php|1st Round, Group E|1994_group_e.php
30.|Italy|Mexico|2 - 1|../games/1994_argentina_nigeria.php|1st Round, Group E|1994_group_e.php
31.|Russia|Cameroon|2 - 1|../games/1994_argentina_nigeria.php|1st Round, Group B|1994_group_b.php
32.|Brazil|Sweden|1 - 1|../games/1994_brazil_sweden.php|1st Round, Group B|1994_group_b.php
