USA,Czechoslovakia,1,5,| | | |Paul Caligiuri   60' | | ,26'  Tomas Skuhravy40'  Michal Bilek  (penalty)50'  Ivan Hasek78'  Tomas Skuhravy90'  Milan Luhovy,http://thesoccerworldcups.com/games/1990_usa_czechoslovakia.php
South Korea,Turkey,2,3,| |Eul Yong Lee   9' | | |Chong Gug Song   90'+3' ,1'  Hakan Sukur13'  Ilhan Mansiz32'  Ilhan Mansiz,http://thesoccerworldcups.com/games/2002_south_korea_turkey.php
Sweden,Costa Rica,1,2,|Johnny Ekstrom   32' | | ,75'  Roger Flores87'  Hernan Medford,http://thesoccerworldcups.com/games/1990_sweden_costa_rica.php
Romania,Peru,3,1,|Adalbert Desu   1' | |Constantin Stanciu   79' |Nicolae Kovacs   89' ,75'  Luis Souza,http://thesoccerworldcups.com/games/1930_romania_peru.php
,,,,,,http://thesoccerworldcups.com/games/2010_chile_switzerland.php
Brazil,Sweden,1,1,| | Romario   46' ,23'  Kennet Andersson,http://thesoccerworldcups.com/games/1994_brazil_sweden.php
Yugoslavia,Colombia,5,0,|Milan Galic   20' |Drazen Jerkovic   25' |Milan Galic   61' |Vojislav Melic   82' |Drazen Jerkovic   87' ,,http://thesoccerworldcups.com/games/1962_yugoslavia_colombia.php
South Korea,Greece,2,0,|Jung Soo Lee   7' |Ji Sung Park   52' ,,http://thesoccerworldcups.com/games/2010_south_korea_greece.php
West Germany,Holland,2,1,|Juergen Klinsmann   51' |Andreas Brehme   82' | ,89'  Ronald Koeman  (penalty),http://thesoccerworldcups.com/games/1990_west_germany_holland.php
Italy,Austria,1,0,|Enrique Guaita   19' ,,http://thesoccerworldcups.com/games/1934_italy_austria.php
South Korea,Togo,2,1,| |Chun Soo Lee   54' |Jung Hwan Ahn   72' ,31'   Mohamed Kader,http://thesoccerworldcups.com/games/2006_south_korea_togo.php
Yugoslavia,United Arab Emirates,4,1,|Safet Susic   5' |Darko Pancev   9' | |Darko Pancev   46' |Robert Prosinecki   90' ,22'  Ali Thani Jumaa,http://thesoccerworldcups.com/games/1990_yugoslavia_united_arab_emirates.php
,,,,,,http://thesoccerworldcups.com/games/2010_spain_switzerland.php
Argentina,Romania,1,1,|Pedro Monzon   62' | ,68'  Gavril Balint,http://thesoccerworldcups.com/games/1990_argentina_romania.php
,,,,,,http://thesoccerworldcups.com/games/2006_switzerland_south_korea.php
,,,,,,http://thesoccerworldcups.com/games/1934_austria_hungary.php
Brazil,Ivory Coast,3,1,| Luis Fabiano   25' | Luis Fabiano   50' | Elano   62' | ,79'  Didier Drogba,http://thesoccerworldcups.com/games/2010_brazil_ivory_coast.php
Spain,Ireland,1,1,|Fernando Morientes   8' | | Fernando Hierro 
						,90'  Robbie Keane  (penalty),http://thesoccerworldcups.com/games/2002_spain_ireland.php
Spain,Tunisia,3,1,| | Raul   71' |Fernando Torres   76' |Fernando Torres  (penalty)  90'+1' ,8'  Jaouhar Mnari,http://thesoccerworldcups.com/games/2006_spain_tunisia.php
Saudi Arabia,Spain,0,1,| ,36'   Juanito,http://thesoccerworldcups.com/games/2006_saudi_arabia_spain.php
West Germany,France,3,6,| |Hans Ciesclarczyk   18' | | | |Helmut Rahn   52' | |Hans Schaefer   84' | ,16'  Just Fontaine27'  Raymond Kopa  (penalty)36'  Just Fontaine50'  Yvon Douis78'  Just Fontaine89'  Just Fontaine,http://thesoccerworldcups.com/games/1958_west_germany_france.php
Sweden,Bulgaria,4,0,|Tomas Brolin   8' |Hakan Mild   30' |Henrik Larsson   37' |Kennet Andersson   40' ,,http://thesoccerworldcups.com/games/1994_sweden_bulgaria.php
Romania,England,2,1,|Viorel Moldovan   46' | |Dan Petrescu   90' ,81'  Michael Owen,http://thesoccerworldcups.com/games/1998_romania_england.php
,,,,,,http://thesoccerworldcups.com/games/1962_italy_switzerland.php
Cameroon,Colombia,2,1,|Roger Milla   106' |Roger Milla   109' | ,115'  Bernardo Redin,http://thesoccerworldcups.com/games/1990_cameroon_colombia.php
Uruguay,Brazil,1,3,|Luis Cubilla   19' | | | ,44'   Clodoaldo76'   Jairzinho89'   Rivelino,http://thesoccerworldcups.com/games/1970_uruguay_brazil.php
Mexico,Bulgaria,1,1,| |Alberto Garcia Aspe  (penalty)  18' |(desviado) Alberto Garcia Aspe 
						,6'  Hristo Stoichkov,http://thesoccerworldcups.com/games/1994_mexico_bulgaria.php
Denmark,Spain,1,5,|Jesper Olsen  (penalty)  33' | | | | | ,43'  Emilio Butragueno56'  Emilio Butragueno68'   Goikoetxea  (penalty)80'  Emilio Butragueno89'  Emilio Butragueno  (penalty),http://thesoccerworldcups.com/games/1986_denmark_spain.php
Brazil,Scotland,1,0,| Muller   81' ,,http://thesoccerworldcups.com/games/1990_brazil_scotland.php
Austria,Scotland,1,0,|Erich Probst   33' ,,http://thesoccerworldcups.com/games/1954_austria_scotland.php
Germany,Sweden,2,0,|Lukas Podolski   4' |Lukas Podolski   12' ,,http://thesoccerworldcups.com/games/2006_germany_sweden.php
Denmark,Japan,1,3,| | |Jon Dahl Tomasson   81' | ,17'  Keisuke Honda30'  Yasuhito Endo87'  Shinji Okazaki,http://thesoccerworldcups.com/games/2010_denmark_japan.php
Australia,Serbia,2,1,|Tim Cahill   69' |Brett Holman   73' | ,84'  Marko Pantelic,http://thesoccerworldcups.com/games/2010_australia_serbia.php
Czechoslovakia,Holland,3,0,|Josef Kostalek   93' |Oldrich Nejedly   111' |Josef Zeman   118' ,,http://thesoccerworldcups.com/games/1938_czechoslovakia_holland.php
,,,,,,http://thesoccerworldcups.com/games/1962_hungary_bulgaria.php
Scotland,Brazil,0,0,,,http://thesoccerworldcups.com/games/1974_scotland_brazil.php
Portugal,North Korea,7,0,| Raul Meireles   29' | Simao   53' | Hugo Almeida   56' | Tiago   60' | Liedson   81' | Cristiano Ronaldo   87' | Tiago   89' ,,http://thesoccerworldcups.com/games/2010_portugal_north_korea.php
Brazil,France,0,1,| ,57'  Thierry Henry,http://thesoccerworldcups.com/games/2006_brazil_france.php
Argentina,Japan,1,0,|Gabriel Batistuta   28' ,,http://thesoccerworldcups.com/games/1998_argentina_japan.php
England,Brazil,1,2,|Michael Owen   23' | | ,45'+2'   Rivaldo50'   Ronaldinho,http://thesoccerworldcups.com/games/2002_england_brazil.php
Spain,Yugoslavia,1,2,| | Julio Salinas   83' | ,78'  Dragan Stojkovic92'  Dragan Stojkovic,http://thesoccerworldcups.com/games/1990_spain_yugoslavia.php
Ghana,Australia,1,1,| |Asamoah Gyan  (penalty)  25' ,11'  Brett Holman,http://thesoccerworldcups.com/games/2010_ghana_australia.php
Japan,Brazil,1,4,|Keiji Tamada   34' | | | | ,45'+1'   Ronaldo53'   Juninho Pernambucano59'   Gilberto Melo81'   Ronaldo,http://thesoccerworldcups.com/games/2006_japan_brazil.php
France,Saudi Arabia,4,0,|Thierry Henry   37' |David Trezeguet   68' |Thierry Henry   78' |Bixente Lizarazu   85' ,,http://thesoccerworldcups.com/games/1998_france_saudi_arabia.php
Romania,Sweden,2,2,| |Florin Raducioiu   88' |Florin Raducioiu   101' | | Florin Raducioiu 
						,78'  Tomas Brolin115'  Kennet Andersson,http://thesoccerworldcups.com/games/1994_romania_sweden.php
Uruguay,Austria,1,3,| |Juan Hohberg   22' | | ,16'  Ernst Stojaspal  (penalty)59'  Luis Cruz   (own goal)89'  Ernst Ocwirk,http://thesoccerworldcups.com/games/1954_uruguay_austria.php
,,,,,,http://thesoccerworldcups.com/games/1938_hungary_sweden.php
Argentina,Cameroon,0,1,| ,67'  Francois Omam-Biyik,http://thesoccerworldcups.com/games/1990_argentina_cameroon.php
Brazil,Holland,1,1,| Ronaldo   46' | |  Ronaldo 
						,87'  Patrick Kluivert,http://thesoccerworldcups.com/games/1998_brazil_holland.php
Soviet Union,Romania,0,2,| | ,41'  Marius Lacatus55'  Marius Lacatus  (penalty),http://thesoccerworldcups.com/games/1990_soviet_union_romania.php
,,,,,,http://thesoccerworldcups.com/games/2006_togo_switzerland.php
,,,,,,http://thesoccerworldcups.com/games/1966_spain_switzerland.php
Brazil,East Germany,1,0,| Rivelino   60' ,,http://thesoccerworldcups.com/games/1974_brazil_east_germany.php
Argentina,Yugoslavia,0,0,| Jose Serrizuela 
						,,http://thesoccerworldcups.com/games/1990_argentina_yugoslavia.php
France,Northern Ireland,4,0,|Maryan Wisnieski   22' |Just Fontaine   55' |Just Fontaine   63' |Roger Piantoni   68' ,,http://thesoccerworldcups.com/games/1958_france_northern_ireland.php
Uruguay,Ghana,1,1,| |Diego Forlan   55' | Diego Forlan 
						,45'+2'  Sulley Muntari,http://thesoccerworldcups.com/games/2010_uruguay_ghana.php
Brazil,France,0,3,| | | ,27'  Zinedine Zidane45'+1'  Zinedine Zidane90'  Emmanuel Petit,http://thesoccerworldcups.com/games/1998_brazil_france.php
Spain,England,1,0,| Zarra   48' ,,http://thesoccerworldcups.com/games/1950_spain_england.php
Nigeria,Denmark,1,4,| | | | |Tijani Babangida   78' ,3'  Peter Moller12'  Brian Laudrup60'  Ebbe Sand76'  Thomas Helveg,http://thesoccerworldcups.com/games/1998_nigeria_denmark.php
South Korea,Italy,2,3,| |Soon Ho Choi   62' | | |Jung Moo Huh   83' ,17'  Alessandro Altobelli73'  Alessandro Altobelli82'  Kwang Rae Cho   (own goal),http://thesoccerworldcups.com/games/1986_south_korea_italy.php
Austria,USA,2,1,|Andeas Ogris   49' |Gerhard Rodax   63' | ,83'  Bruce Murray,http://thesoccerworldcups.com/games/1990_austria_usa.php
Brazil,Spain,0,0,,,http://thesoccerworldcups.com/games/1978_brazil_spain.php
Argentina,Peru,6,0,|Mario Kempes   21' |Alberto Tarantini   43' |Mario Kempes   48' |Leopoldo Luque   50' |Rene Houseman   67' |Leopoldo Luque   72' ,,http://thesoccerworldcups.com/games/1978_argentina_peru.php
West Germany,Austria,6,1,|Hans Schaefer   31' |Max Morlock   47' | |Fritz Walter  (penalty)  54' |Ottmar Walter   61' |Fritz Walter  (penalty)  64' |Ottmar Walter   89' ,51'  Erich Probst,http://thesoccerworldcups.com/games/1954_west_germany_austria.php
Zaire,Brazil,0,3,| | | ,12'   Jairzinho66'   Rivelino79'   Valdomiro,http://thesoccerworldcups.com/games/1974_zaire_brazil.php
England,Trinidad and Tobago,2,0,|Peter Crouch   83' |Steven Gerrard   90'+1' ,,http://thesoccerworldcups.com/games/2006_england_trinidad_and_tobago.php
Mexico,Angola,0,0,,,http://thesoccerworldcups.com/games/2006_mexico_angola.php
France,South Korea,1,1,|Thierry Henry   9' | ,81'  Ji Sung Park,http://thesoccerworldcups.com/games/2006_france_south_korea.php
