||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1930_group_3.php
1.|Uruguay|4|2|2|0|0|5|0|5|Yes|http://thesoccerworldcups.com/world_cups/1930_group_3.php
2.|Romania|2|2|1|0|1|3|5|-2|No|http://thesoccerworldcups.com/world_cups/1930_group_3.php
3.|Peru|0|2|0|0|2|1|4|-3|No|http://thesoccerworldcups.com/world_cups/1930_group_3.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1986_group_a.php
1.|Argentina|5|3|2|1|0|6|2|4|Yes|http://thesoccerworldcups.com/world_cups/1986_group_a.php
2.|Italy|4|3|1|2|0|5|4|1|Yes|http://thesoccerworldcups.com/world_cups/1986_group_a.php
3.|Bulgaria|2|3|0|2|1|2|4|-2|Yes|http://thesoccerworldcups.com/world_cups/1986_group_a.php
4.|South Korea|1|3|0|1|2|4|7|-3|No|http://thesoccerworldcups.com/world_cups/1986_group_a.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/1982_group_f.php
1.|Brazil|6|3|3|0|0|10|2|8|Yes|http://thesoccerworldcups.com/world_cups/1982_group_f.php
2.|Soviet Union|3|3|1|1|1|6|4|2|Yes|http://thesoccerworldcups.com/world_cups/1982_group_f.php
3.|Scotland|3|3|1|1|1|8|8|0|No|http://thesoccerworldcups.com/world_cups/1982_group_f.php
4.|New Zealand|0|3|0|0|3|2|12|-10|No|http://thesoccerworldcups.com/world_cups/1982_group_f.php
||PTS|GP|W|D|L|GS|GA|GD||http://thesoccerworldcups.com/world_cups/2002_group_a.php
1.|Denmark|7|3|2|1|0|5|2|3|Yes|http://thesoccerworldcups.com/world_cups/2002_group_a.php
2.|Senegal|5|3|1|2|0|5|4|1|Yes|http://thesoccerworldcups.com/world_cups/2002_group_a.php
